Scaffold rank,Compounds,Severe cliffs,Cliff density,Intra-scaffold sigma,Mean pIC50,Contains patent-excl,Scaffold SMILES
57,7,0,0.0,0.3111507871365029,7.1890500925121765,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]ccc(=O)c6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
58,7,0,0.0,0.3229348913706694,6.151151886291065,False,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCC5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
59,7,0,0.0,0.2468834290350502,7.407293231069185,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2
60,7,0,0.0,0.34341382211682,6.861181262165114,False,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nn2c1)N1CC2CCC1C2
61,7,0,0.0,0.1456946239965988,6.982426367710815,False,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1
62,7,0,0.0,0.4229109925191275,4.693058965459669,True,O=C(/C=C/c1ccccc1)C1C(=O)NC2CCCCC2C1c1ccccc1
63,7,0,0.0,0.6584016305138299,6.706971222571824,False,O=C(c1ccc2c(c1)nc(-c1cc3cccnc3n1CC1CC1)n2C1CC1)N1CCCCC1
64,7,0,0.0,0.3223834374201921,5.3643536998924,False,O=C(c1ccc2[nH]c(-c3cnc(-c4ccccc4)n3CC3CC3)nc2c1)N1CCCCC1
65,7,0,0.0,0.5620019929783829,6.924888323160139,False,O=C(c1ccc2[nH]c(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CCCCC1
67,6,0,0.0,0.2809991861120536,6.093082691935611,False,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)sc2c1)N1CCCCC1
68,6,0,0.0,0.3558192613486312,7.161518741087316,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2
69,6,0,0.0,0.2356459871665684,7.049345343288088,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cn[nH]c5)nc4n3CC3CC3)nc2c1)N1CCCCC1
70,6,0,0.0,0.1163426409656066,7.055204841458946,True,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CC[C@H]2CC[C@@H]1C2
71,6,0,0.0,0.2693340776322495,7.415750882328414,True,O=C1C=CC2=CC(c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)C=CC2=N1
72,6,0,0.0,0.7397857448176011,5.551051581943135,False,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2
73,6,0,0.0,0.4014945361341914,5.533805013883694,False,O=C(c1ccc2[nH]c(-c3cccn3CC3CC3)nc2c1)N1CCCCC1
74,6,0,0.0,0.294897896354474,7.211590123325705,False,O=C1CC[C@@H](COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)N1
76,6,0,0.0,0.1202934572361508,7.089648110375779,True,O=C(c1ccc2[nH]c(-c3cc4ccc(CNC(=O)C56CC(C5)C6)nc4n3CC3CC3)nc2c1)N1CC[C@H]2CC[C@@H]1C2
77,6,0,0.0,0.1163426409656065,7.055204841458946,False,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CC[C@@H]2CC[C@H]1C2
78,6,0,0.0,0.3348324159264249,7.0545701052479535,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cncnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
79,6,0,0.0,0.3990458285165116,6.806916085566964,False,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5cccnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
80,6,0,0.0,0.2116916593339485,7.026390193731636,False,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2
81,6,0,0.0,0.299181712795676,7.326711666780544,False,O=C1CCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1
82,6,0,0.0,0.2700134230075435,5.174292915093446,False,O=C(c1ccc2[nH]c(-c3cccnc3)nc2c1)N1C[C@H]2CC[C@@H]1C2
83,6,0,0.0,0.5063759475411846,6.293272885084292,False,O=C(c1cc2c3c(c1)nc(-c1cc4ccccc4n1CC1CC1)n3CCN2)N1CCCCC1
84,6,0,0.0,0.5230484742710324,6.75401927696754,False,O=C(Nc1ccccc1)c1ccc2cc(-c3nc4cc(C(=O)N5CCCCC5)ccc4[nH]3)n(CC3CC3)c2n1
85,6,0,0.0,0.60733249673634,6.939017418729269,False,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCCO6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1
86,6,0,0.0,0.3981054929060944,7.113357027289737,False,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCCCO6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1
87,6,0,0.0,0.1202934572361505,7.089648110375779,False,O=C(c1ccc2[nH]c(-c3cc4ccc(CNC(=O)C56CC(C5)C6)nc4n3CC3CC3)nc2c1)N1CC[C@@H]2CC[C@H]1C2
88,6,0,0.0,0.3151831559278573,7.287745194793509,True,O=C1C=CC2=CC(c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)C=CC2=N1
89,6,0,0.0,0.5762811109264484,6.271809905821152,False,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)oc2c1)N1CCCCC1
90,5,0,0.0,0.22154397609083,4.242317467664458,False,c1ccc(-c2ccccc2)cc1
91,5,0,0.0,0.0,4.154901959985743,False,O=C(/C=C/c1cncnc1)c1cnc2ccccc2c1-c1ccccc1
92,5,0,0.0,0.1536623792199445,7.3611437648891185,False,O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)ccc2N1
93,5,0,0.0,0.5359453616254095,6.602853646970185,False,O=C1CC[C@H](COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)N1
94,5,0,0.0,0.7322610846792893,6.350307108359229,False,O=C(N[C@@H]1CCCNC1)c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1
95,5,0,0.0,0.3698047053951457,5.8346183080674345,False,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3ccccn3)nc2c1)N1CCCCC1
96,5,0,0.0,0.3270772959360783,7.5286483251828,False,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)nn2c1)N1CC2CCC1C2
97,5,0,0.0,0.2048984786233478,7.0750373931989206,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)nc2c1)N1CCCCC1
98,5,0,0.0,0.299983205760261,5.465608989553161,False,O=C(CNC(=O)c1ccccc1)NCc1ccccc1
99,5,0,0.0,0.284391245193922,6.99976832891052,False,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1
100,5,0,0.0,0.2896678403812846,6.807633981919503,False,O=C(Cc1ccccc1)NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1
101,5,0,0.0,0.4836364180333707,6.838564855193925,False,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)oc2c1)N1CC2CCC1C2
102,5,0,0.0,0.2843912451939217,6.99976832891052,True,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccc1
103,5,0,0.0,0.1779641820715063,6.44329074354593,False,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CCC4)nc3cc21
104,5,0,0.0,0.7277221751366162,6.029818655252877,False,O=C(c1cc2c3c(c1)nc(-c1cc4ccccc4n1CC1CC1)n3CCO2)N1CCCCC1
105,5,0,0.0,0.0993328556660073,6.989950192161127,False,O=C(c1ccc2[nH]c(-c3cc4ccc(CNC(=O)C56CC(C5)C6)nc4n3CC3CC3)nc2c1)N1CCCCN1
106,5,0,0.0,0.5458461443584369,6.23545123124048,False,O=C(c1ccc2cc(-c3cc4ccc(N5CCC5)cc4n3CC3CC3)nn2c1)N1CCCCC1
107,5,0,0.0,0.4294310283593484,7.164696104063057,False,O=C(c1ccc2[nH]c(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CC2CCC1C2
108,5,0,0.0,0.1458397583569386,6.90406804343675,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cn[nH]c5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2
109,5,0,0.0,0.5166757570042395,6.833856054923656,False,O=C(c1ccc2[nH]c(-c3cc4ccccc4[nH]3)nc2c1)N1CCCCC1
