scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
166,O=C(c1ccc2[nH]c(-c3cc4ccc(CNC(=O)C5(c6ccccc6)CC5)nc4n3CC3CC3)nc2c1)N1CCCCN1,3,0,3,0.0,1.0,6.06,6.318,1.076,0.583,5.875,9.39,False
167,O=C1Cc2cccc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)c2N1,3,0,3,0.0,1.0,7.306,7.432,1.002,0.513,3.62,5.458,False
168,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4Cc4ncco4)nc3cc21,3,0,3,0.0,1.0,6.646,6.707,0.184,0.106,0.641,0.99,False
169,O=C1c2cc3nc(-c4cc5ccccc5n4CC4CC4)[nH]c3cc2CCN1C[C@H]1COCCN1,3,0,3,0.0,1.0,6.324,6.224,0.298,0.172,0.649,1.298,False
170,O=C1NCc2ccc(-c3ccc4cc(-c5nc6cc(C(=O)N7CCCCC7)ccc6[nH]5)n(CC5CC5)c4n3)cc21,3,0,3,0.0,1.0,7.108,6.91,0.602,0.347,1.876,2.979,False
171,O=C(/C=C/C1CC1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,3,0,3,0.0,1.0,4.416,4.155,0.784,0.453,3.268,3.268,False
172,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCCCC5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,6.667,6.879,0.794,0.438,2.669,4.418,False
173,O=C1C=CC2C=C(c3ccc4cc(-c5nc6cc(C(=O)N7CCCCC7)ccc6[nH]5)n(CC5CC5)c4n3)C=CC2=N1,3,0,3,0.0,1.0,7.086,7.119,0.333,0.169,0.99,1.324,True
174,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CCC1,3,0,3,0.0,1.0,7.045,7.054,0.089,0.045,0.353,0.497,False
175,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4n3C3CC3)n(CC3CC3)c2n1)C1CC1,3,0,3,0.0,1.0,7.226,7.274,0.255,0.134,1.159,1.301,False
176,O=C(c1ccc2cc(-c3cc4ccc(N5CCC5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,6.864,6.788,0.457,0.238,1.732,2.372,False
177,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccn5)nc4n3CC3CC3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,7.09,7.155,0.42,0.217,1.297,1.86,False
178,O=C(c1ccc2[nH]c(-c3cc4ccc(NS(=O)(=O)C5CC5)nc4n3CC3CC3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,6.947,7.033,0.365,0.197,1.625,2.615,False
179,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5cncnc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.051,6.951,0.512,0.27,2.965,5.567,False
