scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
219,O=C(C1C=CC2CC(C3=CC4CC=CN=C4N3CC3CC3)=NN2C1)N1CCCCC1,2,0,1,0.0,1.0,6.203,6.203,0.296,0.209,1.376,1.376,False
220,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCc6nnco6)c5n4CC4CC4)nc3cc21,2,0,1,0.0,1.0,6.523,6.523,0.0,0.0,0.0,0.0,False
221,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCc6ccno6)c5n4CC4CC4)nc3cc21,2,0,1,0.0,1.0,6.523,6.523,0.0,0.0,0.0,0.0,False
222,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6cnnn6)c5n4CC4CC4)nc3cc21,2,0,1,0.0,1.0,7.722,7.722,0.555,0.393,,,False
223,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6cnnc6)c5n4CC4CC4)nc3cc21,2,0,1,0.0,1.0,6.891,6.891,0.737,0.521,4.684,4.684,False
224,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCc6cnoc6)c5n4CC4CC4)nc3cc21,2,0,1,0.0,1.0,7.722,7.722,0.555,0.393,,,False
225,O=C1NCc2ccc(-c3ccc4cc(-c5cc6ccc(C(=O)N7CC8CCC7C8)cc6o5)n(CC5CC5)c4c3)cc21,2,0,1,0.0,1.0,6.945,6.945,0.433,0.306,2.074,2.074,False
226,O=C1NCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1,2,0,1,0.0,1.0,7.352,7.352,0.049,0.035,0.309,0.309,False
227,O=C1NCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc21,2,0,1,0.0,1.0,7.759,7.759,0.075,0.053,0.421,0.421,False
228,O=C1NCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)ccc2N1,2,0,1,0.0,1.0,7.554,7.554,0.062,0.044,0.381,0.381,False
229,O=C1NCc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)ccc21,2,0,1,0.0,1.0,7.62,7.62,0.25,0.177,1.549,1.549,False
230,O=C(/C=C/c1cnc[nH]1)C1C(=O)NC2CCCCC2C1c1ccccc1,2,0,1,0.0,1.0,4.547,4.547,0.784,0.555,2.658,2.658,True
231,O=C(/C=C/c1ccccn1)c1cnc2ccccc2c1-c1ccccc1,2,0,1,0.0,1.0,4.155,4.155,0.0,0.0,0.0,0.0,False
232,O=C(/C=C/c1ccccc1)c1cc2ccccc2[nH]c1=O,2,0,1,0.0,1.0,4.155,4.155,0.0,0.0,0.0,0.0,False
233,O=C(/C=C/c1ccccc1)C1CC2CCCCC2NC1=O,2,0,1,0.0,1.0,4.155,4.155,0.0,0.0,0.0,0.0,True
234,O=C(/C=C/c1c[nH]cn1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,2,0,1,0.0,1.0,4.547,4.547,0.784,0.555,2.44,2.44,False
235,O=C(c1ccc2cc(-c3cc4ccc(-c5ccc6[nH]ncc6c5)cc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,6.298,6.298,0.078,0.055,0.372,0.372,False
236,O=C(c1ccc2cc(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,7.09,7.09,0.263,0.186,1.711,1.711,False
237,O=C(c1ccc2c(c1)nc1n2Cc2cnn(c2)CCCCCCn2c-1cc1cccnc12)N1CCCCC1,2,0,1,0.0,1.0,5.642,5.642,1.831,1.295,10.619,10.619,False
238,O=C(c1ccc2c(c1)nc1n2Cc2cnn(c2)CCCCCCn2c-1cc1ccccc12)N1CC2CCC1C2,2,0,1,0.0,1.0,7.17,7.17,0.607,0.429,2.235,2.235,False
239,O=C(c1ccc2c(c1)nc1n2Cc2cncc(c2)-c2ccccc2CCCCn2c-1cc1cccnc12)N1CCCCC1,2,0,1,0.0,1.0,8.247,8.247,0.301,0.213,1.672,1.672,False
240,O=C(c1ccc2c(c1)nc1n2Cc2cccc(c2)CCCCCCn2c-1cc1cccnc12)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,7.293,7.293,0.109,0.077,0.607,0.607,False
241,O=C(c1ccc2c(c1)nc(-c1cccn1CC1CC1)n2Cc1ccccn1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,5.0,5.0,0.0,0.0,,,False
242,O=C(c1ccc2c(c1)nc(-c1cc3cccnc3n1CC1CC1)n2C1CC1)N1[C@@H]2CCC[C@H]1CC2,2,0,1,0.0,1.0,7.14,7.14,0.603,0.426,2.791,2.791,False
243,O=C(c1ccc2c(c1)nc(-c1cc3cccnc3n1CC1CC1)n2C1CC1)N1C[C@H]2CC[C@@H]1C2,2,1,1,1.0,0.0,6.037,6.037,2.021,1.429,13.372,13.372,False
244,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccc6ncccc56)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.133,7.133,0.301,0.213,2.084,2.084,False
245,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6c(c5)CCO6)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.895,6.895,0.031,0.022,0.164,0.164,False
246,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6c(c5)CCO6)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.162,7.162,0.297,0.21,1.64,1.64,False
247,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6c(c5)CCC6)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.678,6.678,0.124,0.088,0.876,0.876,False
248,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6c(=O)[nH]ccc6c5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,7.101,7.101,0.417,0.295,1.82,1.82,False
249,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]ncc6c5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.871,5.871,0.01,0.007,0.056,0.056,False
250,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]ccc(=O)c6c5)cc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.866,6.866,0.242,0.171,1.697,1.697,False
251,O=C(c1ccc2cc(-c3cc4ccc(-c5cccc(-c6nn[nH]n6)c5)cc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,5.458,5.458,0.19,0.135,0.962,0.962,False
252,O=C(c1ccc2cc(-c3cc4ccc(-c5ccc6cn[nH]c6c5)nc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,5.611,5.611,1.574,1.113,9.024,9.024,False
253,O=C(c1ccc2cc(-c3cc4ccc(-c5ccc6cn[nH]c6c5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.1,7.1,0.845,0.598,3.662,3.662,False
254,O=C(c1ccc2cc(-c3cc4ccc(-c5ccc6cn[nH]c6c5)cc4n3CC3CC3)nn2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.261,7.261,0.875,0.619,4.427,4.427,False
255,O=C(c1ccc2c(c1)nc(-c1cc3ccc(N4CCCCS4(=O)=O)nc3n1CC1CC1)n2C1CC1)N1CCCCC1,2,0,1,0.0,1.0,7.455,7.455,0.184,0.13,0.872,0.872,False
256,O=C(c1ccc2[nH]c(-c3cnn(-c4ccccn4)c3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,False
257,O=C(c1ccc2[nH]c(-c3cnn(-c4ccccc4)c3C3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,False
258,O=C(c1ccc2[nH]c(-c3cncn3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,False
259,O=C(c1ccc2[nH]c(-c3cn(CC4CC4)c(-c4ccccc4)n3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,False
260,O=C(c1ccc2[nH]c(-c3cn(CC4CC4)c(-c4ccccc4)n3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,False
261,O=C(c1ccc2[nH]c(-c3ccnn3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,False
262,O=C(c1ccc2[nH]c(-c3cccn3CCc3ccccc3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,6.0,6.0,0.0,0.0,,,False
263,O=C(c1ccc2[nH]c(-c3cccn3CC3CCC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,6.0,6.0,0.0,0.0,,,True
264,O=C(c1ccc2[nH]c(-c3ccc[nH]3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,5.761,5.761,0.477,0.337,3.34,3.34,False
265,O=C(c1ccc2cc(-c3cc4ccc(C5CC5)cc4n3CC3CC3)oc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.286,6.286,0.952,0.673,4.01,4.01,False
266,O=C(c1ccc2cc(-c3cc4ccc(-c5ccncc5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.085,7.085,0.178,0.126,1.133,1.133,False
267,O=C(c1ccc2cc(-c3cc4ccc(-c5ccn6cnnc6c5)nc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,7.069,7.069,0.056,0.04,0.201,0.201,False
268,O=C(c1ccc2cc(-c3cc4ccc(-c5ccn6cnnc6c5)cc4n3CC3CC3)oc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.239,7.239,0.434,0.307,2.077,2.077,False
269,O=C(c1ccc2cc(-c3cc4ccc(-c5ccn6cnnc6c5)cc4n3CC3CC3)nn2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.698,7.698,0.144,0.102,0.913,0.913,False
270,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)oc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.806,6.806,0.127,0.09,0.469,0.469,False
271,O=C(c1ccc2cc(-c3cc4ccc(-c5cccc6[nH]ncc56)nc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,6.489,6.489,0.377,0.266,2.235,2.235,False
272,O=C(c1ccc2cc(-c3cc4ccc(-c5cccc6[nH]ncc56)cc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,6.186,6.186,0.381,0.269,2.388,2.388,False
273,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccc6ncccc56)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.717,7.717,0.158,0.111,1.091,1.091,False
274,O=C(c1ccc2[nH]c(-c3ccc(-c4ccccn4)n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.678,5.678,0.485,0.343,1.99,1.99,False
275,O=C(c1ccc2[nH]c(-c3ccc(-c4ccccc4)[nH]3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.158,5.158,0.066,0.047,0.265,0.265,False
276,O=C(c1ccc2[nH]c(-c3cc4scc(C5CNC5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,7.078,7.078,0.363,0.257,2.348,2.348,False
277,O=C(c1ccc2[nH]c(-c3cc4scc(C5CCNCC5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,7.887,7.887,0.067,0.047,0.438,0.438,False
278,O=C(c1ccc2[nH]c(-c3cc4scc(-c5ccn[nH]5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,7.448,7.448,0.344,0.243,1.701,1.701,False
279,O=C(c1ccc2[nH]c(-c3cc4scc(-c5ccccc5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,7.027,7.027,0.405,0.287,3.006,3.006,False
280,O=C(c1ccc2[nH]c(-c3cc4scc(-c5ccc[nH]5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,6.854,6.854,0.185,0.131,0.957,0.957,False
281,O=C(c1ccc2[nH]c(-c3cc4scc(-c5cc[nH]n5)c4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,2,0,1,0.0,1.0,7.293,7.293,0.051,0.036,0.405,0.405,False
282,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CCCCN1,2,0,1,0.0,1.0,6.866,6.866,0.444,0.314,1.84,1.84,False
283,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CCCC1,2,0,1,0.0,1.0,5.463,5.463,0.944,0.668,,,False
284,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cc[nH]n5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.675,6.675,0.813,0.575,5.375,5.375,False
285,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cc[nH]c(=O)c5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.974,6.974,0.258,0.182,1.434,1.434,False
286,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cc[nH]c(=O)c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.144,7.144,0.509,0.36,2.797,2.797,False
287,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cc(=O)cc[nH]5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.926,6.926,0.221,0.156,1.169,1.169,False
288,O=C(Nc1ccncc1)c1ccc2cc(-c3nc4cc(C(=O)N5CCCCC5)ccc4[nH]3)n(CC3CC3)c2n1,2,0,1,0.0,1.0,7.296,7.296,0.408,0.289,1.741,1.741,False
289,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)cc4n3CC3CC3)sc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.128,7.128,0.585,0.413,5.992,5.992,False
290,O=C(c1ccc2cc(-c3cc4ccc(N5CCC5)cc4n3CC3CC3)nn2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.145,6.145,0.15,0.106,0.422,0.422,False
291,O=C(c1ccc2cc(-c3cc4ccc(N5CCC(N6CCOC6=O)CC5)cc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,6.632,6.632,1.338,0.946,8.413,8.413,False
292,O=C(c1ccc2cc(-c3cc4ccc(N5CCC(N6CCCC6=O)CC5)cc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,5.599,5.599,0.086,0.061,0.57,0.57,False
293,O=C(c1ccc2cc(-c3cc4ccc(N5CCC(C(=O)N6CCCC6)CC5)cc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,7.111,7.111,1.176,0.832,7.939,7.939,False
294,O=C(c1ccc2cc(-c3cc4ccc(C5CC5)nc4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,6.441,6.441,0.667,0.472,4.004,4.004,False
295,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccn[nH]5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.943,6.943,0.14,0.099,0.678,0.678,False
296,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccn6cnnc6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.077,7.077,0.501,0.354,2.881,2.881,False
297,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cccnc5-c5ccccc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.434,6.434,0.121,0.086,0.788,0.788,False
298,O=C(c1ccc2[nH]c(-c3cc4ccccc4n3CC3CC3)nc2c1)N1[C@H]2CC[C@@H]1CC2,2,0,1,0.0,1.0,7.523,7.523,0.121,0.086,0.397,0.397,False
299,O=C(c1ccc2[nH]c(-c3cc4ccc([C@H]5CCCN5)nc4n3CC3CC3)nc2c1)N1[C@H]2CC[C@@H]1CC2,2,0,1,0.0,1.0,7.375,7.375,0.12,0.085,0.961,0.961,False
300,O=C(c1ccc2[nH]c(-c3cc4ccc(Oc5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.58,6.58,0.2,0.141,1.507,1.507,False
301,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccncc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.182,7.182,0.523,0.37,2.477,2.477,False
302,O=C(c1ccc2[nH]c(-c3cc4ccc(NC5CCC5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.58,6.58,0.573,0.405,2.933,2.933,False
303,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)sc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.906,6.906,0.205,0.145,1.396,1.396,False
304,O=C(c1ccc2cc(-c3cc4cccc(OCCn5ccnc5)c4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,7.46,7.46,0.477,0.337,2.831,2.831,False
305,O=C(c1ccc2cc(-c3cc4cccc(OCC5CNC5)c4n3CC3CC3)oc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.382,6.382,0.351,0.248,2.805,2.805,False
306,O=C(c1ccc2cc(-c3cc4cccc(C5CNC5)c4n3CC3CCC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,5.021,5.021,0.394,0.279,2.338,2.338,False
307,O=C(c1ccc2cc(-c3cc4cccc(C5CN(C(=O)C6CCCCO6)C5)c4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,6.278,6.278,0.614,0.434,3.774,3.774,False
308,O=C(c1ccc2cc(-c3cc4cccc(C5CN(C(=O)C6CCC6)C5)c4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,7.188,7.188,0.067,0.047,0.342,0.342,False
309,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)c6cccs6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1,2,0,1,0.0,1.0,6.95,6.95,0.41,0.29,2.49,2.49,False
310,O=C(c1ccc2cc(-c3cc4ccc(N5CCOCC5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.531,6.531,0.044,0.031,0.218,0.218,False
311,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc(N6CCCCC6=O)cc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,7.405,7.405,0.208,0.147,1.453,1.453,False
312,O=C(c1cnc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,5.533,5.533,1.419,1.003,10.049,10.049,False
313,O=C(c1ccn2cc(-c3cc4ccccc4n3Cc3cncs3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,5.63,5.63,0.74,0.524,3.441,3.441,False
314,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4n3C3CC3)n(CC3CC3)c2c1)c1ccccc1,2,0,1,0.0,1.0,6.965,6.965,0.11,0.078,2.483,2.483,False
315,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4n3C3CC3)n(CC3CC3)c2c1)C1CC1,2,0,1,0.0,1.0,7.152,7.152,0.098,0.069,0.489,0.489,False
316,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4[nH]3)n(CC3CC3)c2n1)c1cn[nH]c1,2,0,1,0.0,1.0,7.356,7.356,0.515,0.365,4.358,4.358,False
317,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4[nH]3)n(CC3CC3)c2n1)N1CCCC1,2,0,1,0.0,1.0,7.599,7.599,0.268,0.19,2.033,2.033,False
318,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4[nH]3)n(CC3CC3)c2n1)N1CCC1,2,0,1,0.0,1.0,7.416,7.416,0.252,0.178,1.892,1.892,False
319,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5[C@H]6CC[C@@H]5CC6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,2,0,1,0.0,1.0,6.926,6.926,0.612,0.432,3.058,3.058,False
320,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4n3C3CC3)n(CC3CC3)c2n1)c1cccnc1,2,0,1,0.0,1.0,7.001,7.001,0.093,0.065,0.662,0.662,True
321,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cncnc1,2,0,1,0.0,1.0,6.972,6.972,0.236,0.167,1.725,1.725,True
322,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cn[nH]c1,2,0,1,0.0,1.0,7.2,7.2,0.235,0.166,1.534,1.534,True
323,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1ccncc1,2,0,1,0.0,1.0,7.097,7.097,0.067,0.047,0.487,0.487,True
324,O=C(c1ccc2[nH]c(-c3cc4ccc(C5CNC5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.667,6.667,0.026,0.019,0.167,0.167,False
325,O=C(c1ccc2[nH]c(-c3cc4ccc(C5CCNCC5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.251,7.251,0.192,0.136,1.24,1.24,False
326,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5n[nH]c6ccccc56)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.655,6.655,1.31,0.926,4.517,4.517,False
327,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cncnc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.881,6.881,0.292,0.206,1.854,1.854,False
328,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cncnc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.287,7.287,0.564,0.399,3.507,3.507,False
329,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccncc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.812,6.812,0.518,0.366,2.48,2.48,False
330,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccncc5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,6.913,6.913,0.246,0.174,1.442,1.442,False
331,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccn[nH]5)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,7.179,7.179,0.375,0.265,1.855,1.855,False
332,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccn[nH]5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,2,0,1,0.0,1.0,7.09,7.09,0.207,0.146,1.058,1.058,False
333,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCCNS5(=O)=O)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.316,6.316,0.093,0.066,0.513,0.513,False
334,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCCCS5(=O)=O)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,7.164,7.164,0.73,0.516,4.016,4.016,False
335,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCCCC5=O)nc4n3CC3CC3)nc2c1)N1CCCCC1,2,0,1,0.0,1.0,6.148,6.148,0.087,0.061,0.269,0.269,False
336,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cncnc1,2,0,1,0.0,1.0,6.972,6.972,0.236,0.167,1.725,1.725,False
337,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cn[nH]c1,2,0,1,0.0,1.0,7.2,7.2,0.235,0.166,1.534,1.534,False
338,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1ccncc1,2,0,1,0.0,1.0,7.097,7.097,0.067,0.047,0.487,0.487,False
339,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)c1cn[nH]c1,2,0,1,0.0,1.0,7.247,7.247,0.147,0.104,1.232,1.232,False
340,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)c1ccccn1,2,0,1,0.0,1.0,6.747,6.747,0.221,0.156,1.465,1.465,False
341,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCC5)ccc4[nH]3)n(CC3CC3)c2c1)c1cn[nH]c1,2,0,1,0.0,1.0,6.963,6.963,0.056,0.039,0.525,0.525,False
342,O=C1C=CC(=O)c2nc(-c3ccccn3)ccc21,2,0,1,0.0,1.0,6.407,6.407,0.426,0.301,1.128,1.128,False
343,O=C1NCC2(CCN(c3ccc4cc(-c5nc6cc(C(=O)N7CCCCC7)ccc6[nH]5)n(CC5CC5)c4c3)CC2)O1,2,0,1,0.0,1.0,7.057,7.057,0.301,0.213,1.825,1.825,False
344,O=C1NCC2(CCN(c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)CC2)O1,2,0,1,0.0,1.0,7.108,7.108,0.242,0.171,1.452,1.452,False
345,O=C1NCC2(CCN(c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4c3)CC2)O1,2,0,1,0.0,1.0,7.248,7.248,0.16,0.113,0.962,0.962,False
346,O=C1Cc2cccc(-c3ccc4cc(-c5nc6cc(C(=O)N7CCCCC7)ccc6[nH]5)n(CC5CC5)c4n3)c2N1,2,0,1,0.0,1.0,6.542,6.542,1.609,1.138,4.415,4.415,False
