aid,category,layer,endpoint,flags,expected_subdir,actual_path,file_exists,file_bytes,status,n_data_rows,n_columns,has_sid,has_cid,has_smiles,activity_types,verify_note,issues
1806765,D,D,FP_binding,,pubchem/secondary,data/raw/pubchem/secondary/AID_1806765_datatable_all.csv,True,5903,PASS,29,16,True,True,False,Active|Inactive,,
1920046,D,D,FP_binding,DUAL_LAYER_A,pubchem/secondary,data/raw/pubchem/secondary/AID_1920046_datatable_all.csv,True,4914,PASS,23,16,True,True,False,Active,,
2202442,D,D,FP_binding,DUAL_LAYER_A,pubchem/secondary,data/raw/pubchem/secondary/AID_2202442_datatable_all.csv,True,4914,PASS,23,16,True,True,False,Active|Inactive,,
1069597,D,D,Mass_shift,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069597_datatable_all.csv,True,723,PASS,3,10,True,True,False,Active,,
1069598,D,D,Mass_shift,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069598_datatable_all.csv,True,723,PASS,3,10,True,True,False,Active,,
1069599,D,D,Mass_shift,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069599_datatable_all.csv,True,723,PASS,3,10,True,True,False,Active,,
1069600,D,D,Mass_shift,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069600_datatable_all.csv,True,723,PASS,3,10,True,True,False,Active,,
1069601,D,D,Mass_shift,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069601_datatable_all.csv,True,723,PASS,3,10,True,True,False,Active,,
1069604,D,D,Mass_shift,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069604_datatable_all.csv,True,723,PASS,3,10,True,True,False,Active,,
1069605,D,D,FP_ABPP,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069605_datatable_all.csv,True,549,PASS,1,11,True,True,False,Active,,
1069606,D,D,FP_ABPP,,pubchem/secondary,data/raw/pubchem/secondary/AID_1069606_datatable_all.csv,True,823,PASS,3,11,True,True,False,Active,,
588487,D,D,ABPP_Gel,,pubchem/secondary,data/raw/pubchem/secondary/AID_588487_datatable_all.csv,True,34058,PASS,316,13,True,True,False,Active|Inactive,,
651627,D,D,Binding_mode,,pubchem/secondary,data/raw/pubchem/secondary/AID_651627_datatable_all.csv,True,921,PASS,6,9,True,True,False,Active,,
1346144,D,D,Ki_Kd,CHECK_UNITS,pubchem/secondary,data/raw/pubchem/secondary/AID_1346144_datatable_all.csv,True,1918,PASS,3,13,True,True,False,Active,ChEMBL affinity aggregator — mixed Ki/Kd units. Curate Standard Units carefully during normalization.,
2039667,E,E,NH3_release,,pubchem/secondary,data/raw/pubchem/secondary/AID_2039667_datatable_all.csv,True,949,PASS,1,13,True,True,False,Active,,
2053916,E,E,NH3_release,,pubchem/secondary,data/raw/pubchem/secondary/AID_2053916_datatable_all.csv,True,965,PASS,1,13,True,True,False,Active,,
627442,E,E,Pct_inh,,pubchem/secondary,data/raw/pubchem/secondary/AID_627442_datatable_all.csv,True,720,PASS,2,11,True,True,False,Active,,
627443,E,E,Pct_inh,,pubchem/secondary,data/raw/pubchem/secondary/AID_627443_datatable_all.csv,True,720,PASS,2,11,True,True,False,Active,,
1422917,E,E,Pct_inh,,pubchem/secondary,data/raw/pubchem/secondary/AID_1422917_datatable_all.csv,True,680,PASS,2,11,True,True,False,Active,,
